DATE,open NVIDIA,high NVIDIA,low NVIDIA,close NVIDIA,volume NVIDIA,open GOOGLE,high GOOGLE,low GOOGLE,close GOOGLE,volume GOOGLE,date APPLE,open APPLE,high APPLE,low APPLE,close APPLE,volume APPLE
2022-03-14,"$21,83","$22,23","$21,12","$21,30","$38.472.370,00","$129,36","$129,52","$124,42","$125,09","$1.927.271,00",2022-03-14,"$148,67","$151,29","$147,35","$147,86","$106.737.066,00"
2022-03-15,"$21,48","$23,00","$21,29","$22,94","$49.119.255,00","$126,11","$128,97","$124,86","$128,31","$1.535.386,00",2022-03-15,"$148,13","$152,72","$147,62","$152,24","$91.258.586,00"
2022-03-16,"$23,46","$24,56","$23,13","$24,46","$67.032.534,00","$129,84","$132,42","$127,85","$132,37","$1.766.664,00",2022-03-16,"$154,17","$157,06","$151,63","$156,66","$100.423.169,00"
2022-03-17,"$24,08","$24,80","$23,87","$24,73","$47.116.944,00","$132,24","$133,16","$131,28","$132,92","$1.403.516,00",2022-03-17,"$155,70","$158,05","$154,74","$157,67","$74.227.988,00"
2022-03-18,"$24,76","$26,53","$24,58","$26,41","$72.952.526,00","$132,51","$135,31","$131,35","$135,19","$2.213.082,00",2022-03-18,"$157,57","$161,46","$156,83","$160,97","$121.245.511,00"
2022-03-21,"$26,46","$27,11","$25,92","$26,69","$59.075.985,00","$135,23","$136,11","$133,17","$135,17","$1.332.394,00",2022-03-21,"$160,51","$163,30","$160,02","$162,35","$94.053.448,00"
2022-03-22,"$26,68","$27,19","$26,03","$26,48","$54.611.412,00","$135,17","$140,08","$135,17","$138,91","$1.762.620,00",2022-03-22,"$162,47","$166,31","$161,88","$165,72","$80.036.055,00"
2022-03-23,"$26,08","$26,57","$25,53","$25,59","$50.129.918,00","$137,75","$138,63","$136,89","$137,33","$1.249.055,00",2022-03-23,"$164,91","$169,47","$164,57","$167,09","$96.263.453,00"
2022-03-24,"$26,12","$28,27","$25,86","$28,10","$87.594.540,00","$138,25","$140,65","$136,81","$140,60","$1.310.788,00",2022-03-24,"$167,92","$170,95","$167,09","$170,88","$88.477.688,00"
2022-03-25,"$27,84","$28,31","$27,23","$27,65","$57.807.111,00","$140,94","$141,06","$138,78","$140,70","$1.198.886,00",2022-03-25,"$170,69","$172,06","$169,58","$171,51","$79.068.321,00"
2022-03-28,"$27,71","$28,20","$27,16","$28,17","$42.479.880,00","$139,94","$141,03","$138,85","$140,49","$1.740.459,00",2022-03-28,"$169,01","$172,51","$168,84","$172,38","$88.713.761,00"
2022-03-29,"$28,65","$28,90","$27,93","$28,61","$48.818.581,00","$141,67","$142,81","$141,07","$141,53","$1.704.098,00",2022-03-29,"$173,45","$175,73","$173,11","$175,68","$98.743.762,00"
2022-03-30,"$28,26","$28,45","$27,46","$27,64","$46.273.053,00","$141,48","$141,74","$140,63","$140,97","$987.427,00",2022-03-30,"$175,27","$176,31","$173,46","$174,51","$90.933.579,00"
2022-03-31,"$27,74","$28,20","$27,23","$27,24","$52.258.461,00","$141,08","$141,13","$138,07","$138,12","$1.863.384,00",2022-03-31,"$174,58","$174,76","$171,20","$171,41","$101.158.578,00"
2022-04-01,"$27,33","$27,45","$26,22","$26,67","$51.639.087,00","$138,54","$139,51","$137,36","$139,19","$1.288.187,00",2022-04-01,"$170,84","$171,67","$168,79","$171,11","$77.306.389,00"
2022-04-04,"$26,68","$27,51","$26,57","$27,32","$39.705.804,00","$139,40","$142,73","$139,35","$141,99","$1.289.647,00",2022-04-04,"$171,37","$175,22","$171,24","$175,17","$75.065.365,00"
2022-04-05,"$27,21","$27,27","$25,78","$25,89","$43.590.081,00","$141,89","$142,01","$139,42","$139,63","$1.063.571,00",2022-04-05,"$174,24","$175,03","$171,22","$171,85","$72.055.024,00"
2022-04-06,"$24,89","$25,26","$23,96","$24,37","$70.268.204,00","$137,80","$138,41","$134,59","$135,61","$1.612.304,00",2022-04-06,"$169,20","$170,44","$167,01","$168,68","$87.424.768,00"
2022-04-07,"$24,40","$24,68","$23,44","$24,17","$55.707.960,00","$135,08","$136,23","$133,31","$134,96","$1.302.695,00",2022-04-07,"$168,02","$170,18","$166,73","$168,98","$76.171.004,00"
2022-04-08,"$23,88","$23,88","$23,02","$23,08","$52.392.256,00","$134,66","$134,74","$132,06","$132,37","$1.248.529,00",2022-04-08,"$168,63","$168,63","$166,10","$166,97","$75.170.498,00"
2022-04-11,"$22,18","$22,28","$21,62","$21,88","$57.426.723,00","$130,92","$131,19","$127,79","$127,94","$1.831.521,00",2022-04-11,"$165,62","$165,93","$162,46","$162,71","$70.921.109,00"
2022-04-12,"$22,50","$22,69","$21,25","$21,47","$66.117.707,00","$130,70","$130,70","$125,92","$126,84","$1.624.332,00",2022-04-12,"$164,94","$166,75","$163,58","$164,58","$77.810.854,00"
2022-04-13,"$21,69","$22,46","$21,42","$22,17","$51.609.824,00","$127,12","$129,44","$126,87","$129,00","$1.386.797,00",2022-04-13,"$164,32","$167,90","$163,71","$167,27","$69.323.184,00"
2022-04-14,"$22,47","$22,74","$21,13","$21,22","$56.816.795,00","$129,59","$129,59","$125,73","$125,86","$1.569.077,00",2022-04-14,"$167,49","$168,13","$162,01","$162,26","$73.947.275,00"
2022-04-18,"$21,17","$22,05","$21,04","$21,75","$52.484.143,00","$126,13","$127,33","$125,32","$126,80","$1.033.306,00",2022-04-18,"$160,91","$163,54","$160,57","$162,04","$67.757.451,00"
2022-04-19,"$21,68","$22,34","$21,28","$22,16","$51.194.204,00","$126,82","$129,44","$126,13","$129,12","$1.315.416,00",2022-04-19,"$161,99","$164,74","$160,90","$164,33","$66.481.186,00"
2022-04-20,"$22,48","$22,63","$21,17","$21,45","$46.820.814,00","$130,00","$130,50","$126,63","$127,16","$1.573.918,00",2022-04-20,"$165,66","$165,78","$163,05","$164,16","$66.683.439,00"
2022-04-21,"$21,67","$22,36","$19,97","$20,15","$65.513.644,00","$128,37","$129,21","$123,67","$123,96","$1.809.775,00",2022-04-21,"$165,81","$168,38","$162,87","$163,37","$85.627.331,00"
2022-04-22,"$20,27","$20,45","$19,47","$19,48","$62.369.221,00","$124,14","$124,54","$118,11","$118,82","$2.824.703,00",2022-04-22,"$163,41","$164,79","$158,54","$158,82","$83.324.990,00"
2022-04-25,"$19,17","$19,91","$19,06","$19,87","$64.051.787,00","$118,29","$122,43","$117,70","$122,23","$2.290.615,00",2022-04-25,"$158,16","$160,18","$155,55","$159,89","$94.284.154,00"
2022-04-26,"$19,69","$19,76","$18,64","$18,76","$65.207.520,00","$121,46","$121,67","$117,70","$117,84","$3.627.724,00",2022-04-26,"$159,27","$159,36","$153,84","$153,92","$93.868.685,00"
2022-04-27,"$18,57","$19,14","$18,26","$18,38","$49.864.381,00","$113,69","$116,44","$111,96","$113,51","$4.559.581,00",2022-04-27,"$153,05","$156,86","$152,53","$153,70","$86.447.442,00"
2022-04-28,"$18,94","$20,00","$18,46","$19,75","$56.939.549,00","$115,62","$118,83","$113,33","$117,71","$2.427.489,00",2022-04-28,"$156,33","$161,50","$156,01","$160,64","$127.827.556,00"
2022-04-29,"$19,37","$20,10","$18,49","$18,52","$49.961.732,00","$115,94","$117,11","$113,04","$113,33","$2.119.184,00",2022-04-29,"$158,87","$163,15","$154,37","$154,76","$129.330.263,00"
2022-05-02,"$18,51","$19,54","$18,36","$19,50","$57.111.447,00","$112,63","$115,95","$111,83","$115,78","$1.764.481,00",2022-05-02,"$153,84","$155,33","$150,46","$155,06","$120.797.520,00"
2022-05-03,"$19,37","$19,79","$19,10","$19,57","$47.497.412,00","$115,63","$117,63","$115,24","$116,53","$1.239.817,00",2022-05-03,"$155,25","$157,76","$153,45","$156,55","$87.334.164,00"
2022-05-04,"$19,89","$20,37","$18,72","$20,30","$64.779.520,00","$116,23","$122,01","$114,33","$121,42","$2.478.668,00",2022-05-04,"$156,74","$163,43","$156,34","$162,97","$106.270.233,00"
2022-05-05,"$19,83","$19,89","$18,47","$18,81","$62.530.768,00","$119,38","$120,21","$114,22","$115,71","$2.276.330,00",2022-05-05,"$160,84","$161,07","$152,11","$153,89","$128.130.435,00"
2022-05-06,"$18,71","$19,48","$17,96","$18,64","$63.226.241,00","$114,40","$116,77","$113,24","$114,95","$1.971.880,00",2022-05-06,"$153,37","$156,75","$151,57","$154,62","$114.161.453,00"
2022-05-09,"$18,00","$18,23","$16,80","$16,92","$64.340.130,00","$112,47","$114,29","$111,23","$111,74","$2.026.168,00",2022-05-09,"$152,31","$153,20","$148,93","$149,49","$129.353.467,00"
2022-05-10,"$17,66","$18,17","$17,00","$17,57","$76.023.222,00","$114,72","$115,45","$112,13","$113,61","$1.981.353,00",2022-05-10,"$152,89","$154,09","$150,35","$151,90","$113.416.345,00"
2022-05-11,"$17,32","$17,72","$16,54","$16,60","$66.907.090,00","$112,46","$115,57","$112,46","$112,82","$1.863.881,00",2022-05-11,"$150,91","$152,82","$143,35","$144,02","$140.277.514,00"
2022-05-12,"$16,19","$16,76","$15,54","$16,15","$70.757.168,00","$110,62","$113,51","$109,07","$112,07","$2.673.370,00",2022-05-12,"$140,36","$143,73","$136,45","$140,15","$179.514.955,00"
2022-05-13,"$16,76","$17,90","$16,57","$17,68","$66.934.218,00","$113,75","$117,07","$112,83","$115,26","$1.739.924,00",2022-05-13,"$142,15","$145,60","$140,69","$144,62","$112.063.802,00"
2022-05-16,"$17,48","$17,76","$17,08","$17,24","$52.059.426,00","$114,17","$115,37","$113,11","$113,66","$1.290.621,00",2022-05-16,"$143,09","$145,03","$141,74","$143,08","$85.178.999,00"
2022-05-17,"$18,04","$18,34","$17,61","$18,15","$58.487.252,00","$116,04","$116,10","$114,08","$115,68","$1.144.763,00",2022-05-17,"$146,34","$147,24","$144,20","$146,72","$77.011.974,00"
2022-05-18,"$17,68","$18,09","$16,84","$16,91","$54.426.954,00","$114,21","$114,61","$110,79","$111,13","$1.744.269,00",2022-05-18,"$144,37","$144,87","$137,54","$138,44","$107.887.589,00"
2022-05-19,"$16,91","$17,66","$16,71","$17,10","$62.029.364,00","$110,67","$112,24","$109,25","$109,63","$1.695.526,00",2022-05-19,"$137,52","$139,27","$134,29","$135,03","$133.794.807,00"
